";""idencuesta"";""ola"";""version"";""muestra"";""sospechoso"";""r13_nredes"";""r13_sexo_01"";""r13_edad_01"";""r13_relacion_01"";""r13_tiempo_01"";""r13_barrio_01"";""r13_educ_01"";""r13_relig_01"";""r13_ideol_01"";""r13_contacto_01"";""r13_sexo_02"";""r13_edad_02"";""r13_relacion_02"";""r13_tiempo_02"";""r13_barrio_02"";""r13_educ_02"";""r13_relig_02"";""r13_ideol_02"";""r13_contacto_02"";""r13_sexo_03"";""r13_edad_03"";""r13_relacion_03"";""r13_tiempo_03"";""r13_barrio_03"";""r13_educ_03"";""r13_relig_03"";""r13_ideol_03"";""r13_contacto_03"";""r13_sexo_04"";""r13_edad_04"";""r13_relacion_04"";""r13_tiempo_04"";""r13_barrio_04"";""r13_educ_04"";""r13_relig_04"";""r13_ideol_04"";""r13_contacto_04"";""r13_sexo_05"";""r13_edad_05"";""r13_relacion_05"";""r13_tiempo_05"";""r13_barrio_05"";""r13_educ_05"";""r13_relig_05"";""r13_ideol_05"";""r13_contacto_05"";""r14"";""r15"";""r05_01"";""r05_02"";""r06"";""r07"";""r08"";""r09"";""r10"";""r11"";""r16"";""r17"";""r12_01"";""r12_02"";""r12_03"";""r12_04"";""r12_05"";""r12_06"";""r12_07"";""t01"";""t02_01"";""t02_02"";""t02_03"";""t02_04"";""t03_01"";""t03_02"";""t03_03"";""t03_04"";""t04_01"";""t04_02"";""t04_03"";""t04_04"";""t04_05"";""t04_06"";""t04_07"";""t05"";""t06_01"";""t06_02"";""t06_03"";""t06_04"";""t06_05"";""t06_06"";""t06_07"";""t06_08"";""t07_01"";""t07_02"";""t08"";""t09_01"";""t09_02"";""t09_03"";""t10"";""t11_01"";""t11_02"";""t11_03"";""t11_04"";""t12"";""t13_01"";""t13_02"";""t13_03"";""c01"";""c02"";""c03"";""c04"";""c05_01"";""c05_02"";""c05_03"";""c05_04"";""c05_05"";""c05_06"";""c05_07"";""c05_08"";""c05_09"";""c07_01"";""c07_02"";""c07_03"";""c07_04"";""c07_05"";""c07_06"";""c07_07"";""c07_08"";""c08_01"";""c08_02"";""c08_03"";""c08_04"";""c10_01"";""c10_02"";""c10_03"";""c13"";""c14_01"";""c14_02"";""c15"";""c16"";""c16_otro"";""c17"";""c17_otro"";""c36"";""c18_01"";""c18_12"";""c18_02"";""c18_03"";""c18_04"";""c18_05"";""c18_06"";""c18_07"";""c18_08"";""c18_09"";""c18_10"";""c18_11"";""c20"";""c20_otro"";""c21_01"";""c21_02"";""c21_03"";""c21_04"";""c21_05"";""c21_06"";""c21_07"";""c21_08"";""c21_09"";""c21_10"";""c21_11"";""c22"";""c23"";""c24"";""c25"";""c26"";""c27"";""c28"";""c29"";""c30"";""c32_01"";""c32_02"";""d01_01"";""d01_02"";""d01_03"";""d02_01"";""d02_02"";""d02_03"";""d03_01"";""d03_02"";""d04_01"";""d04_02"";""d05_01"";""d05_02"";""d05_03"";""d05_04"";""d06"";""d20"";""d21"";""d22"";""d23_01"";""d23_02"";""d23_03"";""d23_04"";""d23_05"";""f05_01"";""f05_02"";""f05_03"";""f05_04"";""f05_05"";""f05_06"";""f05_07"";""f05_08"";""f06_01"";""f06_02"";""s01"";""s02"";""s03"";""s11_01"";""s11_02"";""s11_03"";""s11_04"";""s11_05"";""s11_06"";""s11_07"";""s11_08"";""s11_09"";""s15"";""s16"";""s17"";""s18"";""s19_01"";""s19_01_fecha"";""s19_02"";""s19_02_fecha"";""s19_03"";""s19_03_fecha"";""s19_04"";""s19_04_fecha"";""s19_05"";""s19_05_fecha"";""s20"";""s21"";""s22_01"";""s22_02"";""s22_03"";""s22_04"";""s22_05"";""s22_06"";""s22_07"";""s22_08"";""s22_09"";""s22_10"";""s23_01"";""s23_02"";""s23_03"";""s23_04"";""s23_05"";""s24_01"";""s24_02"";""s24_03"";""s25_01"";""s25_02"";""s25_03"";""s25_04"";""s26_01"";""s26_02"";""s26_03"";""s26_04"";""s26_05"";""s26_06"";""s27"";""s28"";""s29"";""m0_sexo"";""m0_edad"";""m01"";""m02"";""m13"";""m14"";""m15"";""m16"";""m29"";""m30"";""m38"";""m38_otro"";""m39"";""m41"";""m46"";""m46_nhogar"";""m46_ocup_01"";""m46_educ_01"";""m46_ocup_02"";""m46_educ_02"";""m46_ocup_03"";""m46_educ_03"";""m46_ocup_04"";""m46_educ_04"";""m46_ocup_05"";""m46_educ_05"";""m46_ocup_06"";""m46_educ_06"";""m46_ocup_07"";""m46_educ_07"";""m46_ocup_08"";""m46_educ_08"";""m46_ocup_09"";""m46_educ_09"";""m46_ocup_10"";""m46_educ_10"";""m47_comuna"";""m47_pais"";""m48"";""m48_edad"";""m49"";""m50"";""m51_comuna"";""m51_pais"";""m52"";""m53"";""m53_otro"";""comuna"";""region"";""ponderador01"";""ponderador02"";""estrato"";""segmento"";""idencuestador"""
"11;1101042;2;201710;1;0;1;2;36;4;3;2;2;1;5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;1;1;3;4;3;3;2;3;3;3;4;3;4;3;4;4;3;3;3;3;3;4;4;3;3;2;4;4;3;4;3;4;4;2;4;3;3;4;4;3;3;3;4;3;3;3;2;3;3;3;2;2;2;2;NA;NA;NA;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;2;1;2;4;3;3;1;1;1;12;15;"""";5;"""";9;4;2;3;4;4;3;4;2;4;4;4;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;3;3;2;2;4;4;4;7;3;2;3;3;1e+06;3e+05;2e+06;8e+05;3;5;3;4;2;2;3;3;4;4;3;4;6;1;1;1;1;1;1;1;1;5;5;2;3;2;3;1;2;2;1;2;2;2;1;-999;1;30;3;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;3;4;3;4;3;3;3;4;4;2;1;1;1;1;4;4;4;1;1;1;1;3;2;2;1;1;1;0;0;3;1;47;5;1;-888;8;-888;3;-888;4;1;"""";5;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1101;NA;2;NA;3;""ceia"";1101;NA;2;2;"""";1101;1;0.395511835813522;0.467045307159424;4;871449;56"
"12;1101043;2;201710;1;0;1;1;30;1;1;1;2;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;2;2;2;3;3;3;2;2;2;5;5;5;5;5;5;5;2;2;2;2;2;2;2;2;2;3;2;4;4;4;3;3;1;2;4;4;4;3;4;4;4;2;2;2;3;2;4;2;3;1;1;1;2;NA;NA;NA;3;3;2;2;3;1;3;2;3;1;1;3;1;1;1;1;2;2;2;1;2;1;1;1;1;3;3;3;2;1;1;12;15;"""";5;"""";8;2;2;2;4;5;4;3;4;3;4;5;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;3;4;3;3;4;4;3;3;6;2;3;1;1e+06;3e+05;2e+06;5e+05;3;5;1;2;1;-888;-888;-888;4;3;2;4;6;2;2;1;1;1;1;1;1;5;5;3;3;3;3;2;3;3;2;3;3;2;1;4;1;30;1;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;3;4;2;4;4;3;4;3;3;4;2;1;1;1;1;4;4;4;1;1;1;1;3;3;1;2;1;2;0;0;1;2;21;5;7;NA;NA;NA;NA;-888;2;9;"""";NA;3;1;1;1;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77777;502;1;17;3;""a6"";77777;502;2;2;"""";1101;1;0.791023671627045;0.677411079406738;4;871449;56"
"13;1101051;2;201710;1;0;1;1;22;4;2;2;5;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;1;1;2;2;3;2;1;2;1;1;4;3;4;3;4;3;3;2;1;1;1;1;3;2;2;2;2;1;2;2;2;2;2;1;3;2;3;3;2;3;3;3;2;2;3;2;2;2;3;2;1;1;2;2;NA;NA;NA;1;2;2;2;2;1;2;2;1;2;1;2;1;1;2;2;2;2;2;2;2;1;2;2;2;4;4;4;2;2;1;12;15;"""";5;"""";8;2;2;1;3;1;2;2;2;4;1;4;2;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;2;3;2;5;5;6;5;9;1;2;1;6e+06;250000;5e+06;8e+05;3;4;2;4;2;2;3;3;3;2;6;3;5;2;1;1;1;1;3;1;1;5;5;1;1;3;2;1;1;2;2;3;2;1;2;6;7;1;4;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;3;2;3;3;2;2;1;2;2;2;2;1;1;2;2;5;5;5;2;1;1;1;4;3;3;2;2;4;2;4;1;1;21;8;1;350000;NA;7e+05;2;-888;12;1;"""";5;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1101;NA;2;NA;3;""universidad aruro prat"";1101;NA;1;10;"""";1101;1;0.574129998683929;0.677968919277191;4;424155;56"
"14;1101053;2;201710;1;0;1;2;55;3;5;1;4;5;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;1;1;1;NA;NA;1;2;2;2;2;4;4;3;4;4;3;4;2;2;2;3;2;3;3;2;3;4;3;4;3;3;3;3;3;4;3;3;3;2;3;3;3;4;4;3;1;2;2;3;2;2;1;2;2;NA;NA;NA;1;2;2;2;2;1;1;2;1;1;2;1;2;2;2;2;2;2;2;2;2;1;1;2;1;4;4;4;1;2;1;12;15;"""";5;"""";9;4;4;3;4;4;3;5;4;4;1;2;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;3;3;2;1;4;4;6;6;9;4;5;1;3e+06;350000;3e+06;8e+05;3;5;2;3;3;4;4;4;3;4;3;4;4;1;1;1;1;1;1;1;1;5;5;3;3;2;2;3;2;2;2;1;2;3;2;0;1;30;2;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;3;2;2;2;3;3;2;2;3;3;1;2;2;1;2;5;5;5;2;2;1;2;4;2;3;2;2;2;2;2;1;2;20;9;4;NA;NA;NA;NA;-999;9;5;"""";5;3;1;2;1;6;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1101;NA;2;NA;2;""universidad arturo prat"";1101;NA;1;10;"""";1101;1;1.14825999736786;0.983338594436646;4;424155;56"
"15;1101081;2;201710;1;0;1;2;41;2;5;1;3;3;5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;1;3;4;1;5;2;3;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;3;5;5;2;2;5;5;5;5;4;4;3;2;3;3;4;1;1;1;1;2;NA;NA;NA;2;2;1;2;2;1;3;1;1;2;1;1;1;3;3;1;1;3;3;1;3;1;1;1;1;5;5;5;2;2;2;11;8;"""";5;"""";9;4;4;4;4;4;5;4;4;4;2;5;5;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;3;1;5;5;4;4;9;1;1;1;3e+06;450000;2e+06;7e+05;4;5;3;2;5;2;2;4;4;3;2;5;5;4;1;1;2;1;4;2;1;5;5;3;3;3;1;1;1;2;2;1;1;1;1;2;1;30;6;1;2002;1;2005;2;NA;2;NA;2;NA;5;NA;4;4;2;4;4;4;4;4;2;2;1;1;1;1;1;5;1;1;1;1;1;1;1;4;3;3;1;1;0;0;1;1;71;3;5;NA;NA;NA;NA;-888;3;1;"""";6;1;1;2;7;5;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7306;NA;1;28;2;""gabriela mistrao l"";7301;NA;2;1;"""";1101;1;1.53101325035095;1.80791676044464;4;118015;56"
"16;1101082;2;201710;1;0;1;2;75;3;5;1;1;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;1;3;4;1;3;2;3;2;2;4;4;5;5;2;4;3;2;4;4;4;4;2;4;4;4;2;4;5;4;2;5;5;3;2;3;3;4;4;4;4;4;3;3;4;2;3;3;3;1;1;1;3;2;NA;NA;NA;1;2;2;2;1;1;1;1;1;1;1;1;1;2;2;1;3;3;3;3;3;1;1;1;1;4;4;4;1;1;4;12;15;"""";5;"""";8;1;4;4;4;4;5;5;4;3;1;1;5;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;3;4;3;3;5;5;8;5;10;1;1;1;6e+06;3e+05;4e+06;1e+06;2;5;3;3;3;2;2;2;10;2;1;5;4;1;1;1;1;1;1;1;1;5;5;2;3;2;1;2;3;1;3;1;1;1;1;0;1;1;1;1;2012;2;NA;2;NA;2;NA;2;NA;5;NA;5;5;1;2;4;4;3;5;3;4;3;2;3;3;1;3;2;2;1;1;1;1;3;4;2;3;3;1;0;0;2;2;57;5;2;3e+05;NA;6e+05;1;-888;3;1;"""";5;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1404;NA;1;39;3;""duoc"";1101;NA;1;2;"""";1101;1;0.382753312587738;0.327779471874237;4;118015;56"
"17;1101083;2;201710;1;0;1;1;46;4;3;1;-999;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;1;1;3;3;3;2;2;2;3;3;4;3;4;3;4;3;3;3;3;2;2;2;4;3;4;3;4;3;3;4;4;4;3;3;4;4;3;3;4;4;4;4;4;4;3;3;2;3;4;2;1;1;1;2;NA;NA;NA;3;2;3;2;2;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;1;1;1;1;4;4;4;2;2;2;12;15;"""";5;"""";8;2;3;3;4;4;4;4;5;4;5;4;5;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;3;3;3;3;5;5;7;5;6;2;2;2;4e+06;3e+05;4e+06;7500000;2;4;3;4;3;3;3;3;4;4;6;4;5;1;1;1;1;1;2;1;1;5;5;3;3;3;2;3;2;3;4;3;2;3;2;4;1;30;4;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;3;4;3;2;4;3;4;3;4;2;3;1;1;1;3;2;2;1;1;1;1;3;2;1;2;2;2;0;0;3;1;46;5;1;450000;NA;-888;3;-888;8;1;"""";5;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1101;NA;1;20;3;""comercial  a6"";1101;NA;1;10;"""";1101;1;1.91376662254333;2.25989603996277;4;118015;56"
"18;1101091;2;201710;1;0;1;2;36;2;5;1;5;1;5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;1;2;2;3;3;3;2;3;1;3;4;4;4;4;4;3;2;3;3;3;3;3;3;3;3;4;3;4;4;3;4;3;2;4;3;4;3;4;3;4;4;3;3;3;1;1;1;4;4;3;3;4;2;NA;NA;NA;3;2;2;1;2;1;2;2;1;2;1;2;2;1;2;2;2;2;2;2;2;2;1;1;1;4;4;4;2;2;2;3;15;"""";5;"""";8;2;2;3;3;5;2;2;3;3;4;4;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;3;4;3;3;4;4;6;3;10;2;2;2;-888;3500000;3e+06;7e+06;3;5;2;3;2;2;2;2;4;3;2;5;6;2;1;1;1;1;1;1;1;5;5;3;2;3;4;2;2;3;3;3;2;3;3;-999;3;2;8;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;3;4;3;4;4;3;4;4;3;1;1;1;1;1;3;2;3;1;2;1;1;2;2;3;2;2;2;0;8;1;2;65;9;2;-999;9;-888;3;-888;10;5;"""";5;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10301;NA;1;17;2;""universidad  de tarapaca"";1101;NA;1;10;"""";1101;1;0.574129998683929;0.491669297218323;4;461142;56"
"19;1101092;2;201710;1;0;1;1;30;1;5;2;3;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;1;1;1;NA;NA;3;1;3;3;1;2;2;5;2;5;5;5;2;5;5;5;5;2;2;5;5;2;5;5;5;2;5;5;1;2;4;4;4;4;4;4;4;4;4;4;1;2;2;3;3;1;1;1;1;2;7;10;3;2;2;2;1;1;3;1;1;1;1;1;1;1;1;3;3;3;3;3;3;1;1;1;1;4;4;4;2;3;3;11;15;"""";5;"""";8;1;2;5;4;4;5;5;5;5;4;5;5;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;3;4;3;3;5;5;5;4;10;1;1;1;2e+06;4e+05;2e+06;6e+05;4;3;3;3;3;3;3;3;6;3;3;7;4;1;1;1;1;1;1;1;1;5;5;4;4;2;3;2;4;3;2;4;4;4;4;1;4;2;9;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;5;5;4;5;4;5;5;3;5;5;1;1;3;1;1;3;3;3;1;1;1;1;4;2;3;2;1;1;2;2;1;2;34;9;9;NA;NA;NA;NA;-888;9;1;"""";6;2;1;1;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77777;503;1;23;3;""unap"";1101;NA;1;2;"""";1101;1;1.14825999736786;0.983338594436646;4;461142;56"
"20;1101101;2;201710;1;0;1;2;55;1;5;1;3;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;3;4;1;2;2;4;2;1;2;4;4;4;5;5;5;4;4;4;4;4;4;2;4;4;5;5;5;5;3;5;2;3;4;4;2;4;4;4;4;4;4;4;4;1;3;2;4;3;2;1;1;2;NA;NA;NA;3;2;2;2;4;1;1;3;1;1;1;4;1;1;1;1;1;3;3;1;3;1;1;1;1;4;4;4;2;3;3;2;15;"""";2;"""";1;1;4;4;4;5;5;4;5;4;1;1;5;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;5;5;3;2;4;4;5;3;9;2;1;1;3e+06;270000;3e+06;6e+05;2;5;2;5;3;2;2;3;4;2;3;5;5;1;1;1;1;1;1;1;1;5;5;4;4;2;3;3;3;2;2;4;3;3;1;6;2;90;3;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;5;5;5;3;4;3;4;4;4;3;1;1;1;1;1;4;4;4;1;1;1;1;1;3;1;1;1;1;0;0;1;1;58;5;1;4e+06;NA;8e+05;4;-999;4;9;"""";NA;2;1;1;7;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1101;NA;1;20;3;""oiceo comercial a6"";1101;NA;1;10;"""";1101;1;0.38275334239006;0.451979249715805;4;894474;56"
"21;1101102;2;201710;1;0;1;1;41;2;5;1;5;1;5;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;1;1;1;NA;NA;2;3;2;2;1;5;4;3;4;4;4;4;2;3;3;2;3;3;3;3;3;4;4;3;4;3;4;4;3;4;3;4;3;4;4;4;3;4;4;3;2;2;3;2;2;2;2;2;2;NA;NA;NA;2;2;2;1;2;1;3;1;2;2;1;1;3;1;1;2;1;2;2;2;1;1;1;1;1;4;4;4;1;2;2;12;15;"""";5;"""";1;2;2;2;3;5;4;4;4;4;2;1;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;4;3;3;4;4;6;4;10;2;2;2;5e+06;3e+05;5e+06;680000;4;5;3;5;3;2;2;2;5;2;1;4;6;1;1;1;1;1;1;1;1;4;4;3;3;3;2;2;2;3;3;2;1;2;2;-999;1;30;1;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;3;2;4;3;4;3;4;3;3;1;1;1;1;1;3;3;3;3;1;1;2;2;2;1;1;1;1;0;0;1;2;66;4;1;-888;8;-999;2;-999;10;1;"""";5;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1101;NA;1;21;3;""comercial"";1101;NA;1;10;"""";1101;1;1.14825987815857;0.983338475227356;4;894474;56"
"22;1101103;2;201710;1;0;1;1;34;3;5;1;3;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;2;1;2;3;3;2;3;3;3;3;5;4;5;4;5;5;4;4;4;4;4;4;4;4;4;4;5;4;5;5;4;5;4;3;4;4;5;4;5;4;4;5;4;4;4;3;3;3;4;2;1;1;1;2;NA;NA;NA;3;3;3;3;1;1;3;1;1;1;1;1;1;3;3;3;3;3;3;3;3;2;2;1;2;4;4;4;2;2;2;12;15;"""";5;"""";8;1;1;1;5;4;5;5;5;5;5;5;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;3;4;3;2;5;5;4;4;9;1;1;1;3e+06;3e+05;3e+06;6e+05;3;5;3;4;3;3;3;3;6;4;3;3;4;1;1;1;1;1;1;1;1;5;5;3;3;3;3;3;3;2;3;3;4;4;3;-888;1;1;6;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;5;5;1;5;4;5;2;5;4;5;1;1;1;1;1;4;4;4;1;1;1;1;1;2;4;2;2;1;0;0;1;1;36;5;1;-999;8;-888;3;-888;8;1;"""";5;1;1;1;1;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1101;NA;2;NA;3;""a7"";1101;NA;1;10;"""";1101;1;0.765506684780121;0.90395849943161;4;894474;56"
"23;1101111;2;201710;1;0;1;1;32;1;4;1;3;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;4;4;4;4;2;4;3;4;4;3;5;4;4;5;4;4;5;3;2;2;2;2;3;2;2;3;3;2;3;2;3;3;2;-888;2;2;2;3;2;3;2;3;3;3;2;3;4;4;3;3;4;3;2;2;NA;NA;NA;3;2;2;2;2;1;1;1;1;1;1;1;1;2;1;2;2;2;2;1;2;2;1;2;2;2;1;2;2;2;2;12;15;"""";5;"""";8;4;4;2;2;4;3;4;2;4;3;4;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;3;3;3;3;-999;-999;5;8;3;4;3;1;-999;3e+05;3e+06;6e+05;5;5;3;3;4;3;3;3;5;2;5;4;5;2;1;1;1;1;2;1;1;4;4;4;3;3;4;2;2;2;2;1;2;2;1;4;1;1;9;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;2;4;4;2;3;4;3;3;4;2;1;1;1;1;2;1;2;2;1;2;3;3;2;2;2;1;1;7;0;1;2;26;5;1;-888;8;-888;4;-999;8;1;"""";5;1;1;2;1;5;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77777;509;1;19;3;""carlos armando laure"";77777;509;1;10;"""";1101;1;1.72239017486572;1.47500801086426;4;715280;56"
"24;1101113;2;201710;1;0;1;2;31;4;4;2;5;1;6;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;3;3;3;3;2;3;3;3;4;3;4;4;4;4;4;3;3;3;2;3;4;3;4;3;4;3;4;3;3;3;4;3;4;3;4;4;3;4;4;3;4;4;3;2;2;2;3;2;1;2;2;2;NA;NA;NA;3;2;2;2;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;2;2;1;1;1;1;4;4;4;1;2;1;12;15;"""";5;"""";8;2;1;2;4;5;2;3;2;3;2;1;5;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;3;3;3;3;5;5;5;4;9;4;5;2;2e+06;3e+05;3e+06;8e+05;4;5;2;2;3;3;2;2;5;3;4;4;4;3;3;1;1;2;4;2;1;5;5;3;3;3;3;2;2;1;2;3;2;2;2;3;7;3;6;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;3;4;2;4;3;2;3;4;3;1;2;2;1;1;3;3;2;3;2;3;3;4;2;2;2;2;3;0;0;1;1;35;5;1;-999;11;-888;3;-999;6;1;"""";5;1;1;2;1;3;7;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1101;NA;1;24;3;""licel luis cruz martinez"";1101;NA;1;10;"""";1101;1;0.574129998683929;0.677968919277191;4;715280;56"
